,title-en,content-en,title-de,content-de,title-es,content-es,title-fr,content-fr,title-zh,content-zh
0,Trump to double tariffs on steel imports,The US president says increasing them to 50% will protect local industry and reduce reliance on China.,Trump verdoppelt Zölle auf Stahlimporte,"Der US-Präsident sagt, dass eine Erhöhung auf 50 % die lokale Industrie schützen und die Abhängigkeit von China verringern wird.",Trump duplicará los aranceles a las importaciones de acero,El presidente de EE.UU. dice que aumentarlos al 50% protegerá la industria local y reducirá la dependencia de China.,Trump doublera les droits de douane sur les importations d'acier,Le président américain dit que les porter à 50 % protégera l'industrie locale et réduira la dépendance à l'égard de la Chine.,对钢进口实行双重关税,"美国总统说,把它们提高到50% 将保护当地工业,减少对中国的依赖。"
1,Healey sees defence spend rise to 3% of GDP by 2034,"But a source says the defence secretary is voicing an opinion, not announcing a new commitment.","Healey sieht, dass die Verteidigungsausgaben bis 2034 auf 3 % des BIP steigen","Aber eine Quelle sagt, dass der Verteidigungsminister eine Meinung vertritt und keine neue Verpflichtung ankündigt.",Healey ve aumentar el gasto en defensa hasta el 3% del PIB en 2034,"Pero una fuente dice que el secretario de defensa está expresando una opinión, no anunciando un nuevo compromiso.",Healey voit les dépenses de défense augmenter pour atteindre 3 % du PIB d'ici 2034.,"Mais une source dit que le secrétaire de la défense fait une déclaration d'opinion, pas d'annonce d'un nouvel engagement.",Healey看到到2034年国防开支达到国内生产总值的3%,但有消息说 辩方秘书在发表意见 而不是宣布新的承诺
2,Idyllic Swiss village stood for centuries - until a roaring glacier wiped it out,Nine million cubic metres of rock and ice came crashing down on Blatten after a landslide.,Idyllisches Schweizer Dorf stand jahrhundertelang - bis ein brüllender Gletscher es auslöschte,Neun Millionen Kubikmeter Gestein und Eis stürzten nach einem Erdrutsch auf Blatten zusammen.,El idílico pueblo suizo permaneció durante siglos - hasta que un rugiente glaciar lo borró,Nueve millones de metros cúbicos de roca y hielo cayeron en Blatten después de un deslizamiento de tierra.,Le village idyllique suisse s'est tenu pendant des siècles - jusqu'à ce qu'un glacier rugissant l'a essuyé,Neuf millions de mètres cubes de roche et de glace sont tombés sur Blatten après un glissement de terrain.,"几百年来,瑞士的犹太村庄一直站立着 直到一阵咆哮的冰川将它夷为平地",九百万立方米的岩石和冰层 在滑坡后在布拉顿坠落
3,"UK taxpayers no longer own NatWest - but 17 years on, are banks safer from collapse?","The last shares have been sold from the RBS bailout during the financial crisis. But, with banks facing fresh risks today, has enough changed?","Die britischen Steuerzahler besitzen NatWest nicht mehr - aber 17 Jahre später, sind Banken vor dem Zusammenbruch sicherer?","Die letzten Aktien wurden während der Finanzkrise aus dem RBS-Bailout verkauft. Aber mit Banken, die heute mit neuen Risiken konfrontiert sind, hat sich genug verändert?","Los contribuyentes del Reino Unido ya no son dueños de NatWest - pero 17 años después, ¿están los bancos más seguros del colapso?","Las últimas acciones se han vendido del rescate de RBS durante la crisis financiera. Pero, con los bancos enfrentan nuevos riesgos hoy, ¿ha cambiado lo suficiente?","Les contribuables britanniques ne possèdent plus NatWest - mais 17 ans après, les banques sont-elles plus sûres de l'effondrement?","Les dernières actions ont été vendues lors du renflouement du RBS pendant la crise financière. Mais, avec les banques confrontées à de nouveaux risques aujourd'hui, a-t-elle suffisamment changé?","英国纳税人不再拥有NatWest(NatWest),","最后的股份在金融危机期间从RBS救援中出售。 但如今银行面临新的风险,这是否已经足够了?"
4,Breakthrough cancer drug doubles survival in trial,An international study found immunotherapy before surgery could give patients extra years of life.,Durchbruch Krebsmedikament verdoppelt das Überleben in der Studie,Eine internationale Studie fand Immuntherapie vor der Operation könnte Patienten zusätzliche Jahre des Lebens geben.,El fármaco contra el cáncer de vanguardia duplica la supervivencia en el ensayo,Un estudio internacional encontró inmunoterapia antes de la cirugía podría dar a los pacientes más años de vida.,Le médicament perturbateur double la survie au cours de l'essai,Une étude internationale a trouvé l'immunothérapie avant la chirurgie pourrait donner aux patients plus d'années de vie.,突破癌症药物在试验中双重生存,"一项国际研究发现,在手术给病人增加生命年限之前,先进行免疫疗法。"
5,Taylor Swift buys back her master recordings,"The singer announces that she owns the masters to her first six albums, for the first time ever.",Taylor Swift kauft ihre Master-Aufnahmen zurück,"Die Sängerin gibt bekannt, dass sie die Meister zu ihren ersten sechs Alben besitzt, zum ersten Mal überhaupt.",Taylor Swift vuelve a comprar sus grabaciones maestras,"La cantante anuncia que es dueña de los maestros de sus primeros seis álbumes, por primera vez en la historia.",Taylor Swift rachète ses masters d'enregistrements,"La chanteuse annonce qu'elle possède les maîtres de ses six premiers albums, pour la première fois.",泰勒·斯威夫特买回她的主录音,歌手宣布她拥有前六张专辑的主人 有史以来第一次
6,King Charles gifted Rolls-Royce as coronation present,Other gifts received by the King include a feather crown and a gold Blue Peter badge.,King Charles begnadete Rolls-Royce als Krönungsgeschenk,"Weitere Geschenke, die der König erhalten hat, sind eine Federkrone und ein goldenes blaues Peter-Badge.",El rey Carlos dotó a Rolls-Royce como presente de coronación,Otros regalos recibidos por el Rey incluyen una corona de plumas y una insignia de Pedro Azul de oro.,Le roi Charles a donné Rolls-Royce comme cadeau de couronnement,"Parmi les autres cadeaux reçus par le roi, mentionnons une couronne de plumes et un insigne Blue Peter en or.",查尔斯国王赠送劳劳斯罗 以加冕礼,国王收到的其他礼物包括羽冠和金蓝色彼得徽章。
7,Last hospital in North Gaza governorate evacuated after Israeli order,"Al-Awda, the last functioning hospital in the North Gaza governorate, is out of service after the Israeli military ordered its evacuation.",Letztes Krankenhaus im nördlichen Gaza Gouvernement evakuiert nach israelischer Ordnung,"Al-Awda, das letzte funktionierende Krankenhaus im nördlichen Gaza Gouvernement, ist außer Dienst, nachdem das israelische Militär seine Evakuierung angeordnet hatte.",Último hospital de la provincia de Gaza septentrional evacuado tras orden israelí,"Al-Awda, el último hospital en funcionamiento en la provincia del norte de Gaza, está fuera de servicio después de que el ejército israelí ordenó su evacuación.",Dernier hôpital dans le gouvernorat de Gaza-Nord évacué après l ' ordre d ' Israël,"Al-Awda, le dernier hôpital en service dans le gouvernorat de Gaza-Nord, est hors service après que l'armée israélienne ait ordonné son évacuation.",北加沙省最后一家医院经以色列命令后撤离,"Al-Awda是加沙北部省最后一家正常运作的医院,在以色列军队下令撤离后停业。"
8,M*A*S*H actress Loretta Swit dies aged 87,"Swit won awards for her role as ""Hot Lips"" Houlihan, a nurse based at an Army hospital during the Korean War.",M*A*S*H Schauspielerin Loretta Swit stirbt im Alter von 87 Jahren,"Swit erhielt Auszeichnungen für ihre Rolle als ""Hot Lips"" Houlihan, eine Krankenschwester in einem Armeekrankenhaus während des Koreakrieges.",M*A*S*H actriz Loretta Swit muere a los 87 años,"Swit ganó premios por su papel como Houlihan, una enfermera con sede en un hospital del Ejército durante la Guerra de Corea.",M*A*S*H Loretta Swit décède à l'âge de 87 ans,"Swit a remporté des prix pour son rôle de ""Hot Lips"" Houlihan, une infirmière basée dans un hôpital de l'armée pendant la guerre de Corée.",M*A*S*H女演员Loretta Swit 87岁死亡,Swit因在朝鲜战争期间担任陆军医院护士“热利普斯”Houlihan获奖。
9,"Paul Doyle accused of using car as weapon, court told",He is charged with multiple offences after 79 people were hurt when a car was driven through a crowd.,"Paul Doyle beschuldigt, Auto als Waffe, Gericht sagte","Er wird mit mehreren Straftaten angeklagt, nachdem 79 Menschen verletzt wurden, als ein Auto durch eine Menge gefahren wurde.","Paul Doyle acusado de usar el coche como arma, dijo la corte",Se le acusa de múltiples delitos después de que 79 personas resultaron heridas cuando un coche fue conducido a través de una multitud.,"Paul Doyle accusé d'utiliser la voiture comme arme, a déclaré le tribunal",Il est accusé de plusieurs infractions après que 79 personnes ont été blessées lorsqu'une voiture a été conduite dans la foule.,"法院告诉Paul Doyle被指控使用汽车作为武器,","在一辆汽车在人群中行驶时有79人受伤之后,他被指控犯有多项罪行。"
10,Rugby league anger at no knighthoods in 130 years,The Speaker Sir Lindsay Hoyle joins protests at the lack of knighthoods for rugby league players.,Rugby Liga Wut auf keine Ritterschaft in 130 Jahren,Der Sprecher Sir Lindsay Hoyle beteiligt sich an Protesten gegen das Fehlen von Rittern für Rugby-Liga-Spieler.,Enfado de la liga de rugby por no tener caballeros en 130 años,El presidente sir Lindsay Hoyle se une a las protestas por la falta de caballeros para los jugadores de la liga de rugby.,La colère de la ligue de rugby sans chevalier en 130 ans,Le Président sir Lindsay Hoyle se joint aux protestations contre l'absence de chevaliers pour les joueurs de ligue de rugby.,橄榄球联盟对130年来没有骑士的愤怒,议长Lindsay Hoyle爵士也抗议橄榄球联盟球员缺乏骑士资格。
11,Gerry Adams awarded €100k in libel case against the BBC,The former Sinn Féin leader was seeking damages over a story in which an anonymous contributor alleged he sanctioned the murder of Denis Donaldson.,Gerry Adams erhält 100k Euro im Verleumdungsverfahren gegen die BBC,"Der ehemalige Sinn Féin-Führer suchte Schadensersatz wegen einer Geschichte, in der ein anonymer Mitarbeiter behauptete, er habe den Mord an Denis Donaldson sanktioniert.",Gerry Adams otorgó €100k en caso de difamación contra la BBC,El ex líder del Sinn Féin estaba buscando daños por una historia en la que un colaborador anónimo alegó que sancionaba el asesinato de Denis Donaldson.,Gerry Adams a remporté 100 000 euros en diffamation contre la BBC,L'ancien chef Sinn Féin demandait des dommages-intérêts pour une histoire dans laquelle un contributeur anonyme prétendait avoir sanctionné le meurtre de Denis Donaldson.,Gerry Adams在针对BBC的诽谤案中授予100欧元,"前新芬党领导人正在就一个报道寻求损害赔偿,其中一名匿名捐款人指控他批准谋杀Denis Donaldson。"
12,"School leavers party for weeks on midnight buses, and Norway says it's gone too far",Traditions have changed over the years and now teenagers are spending fortunes on hiring party buses.,"Schulabgänger feiern wochenlang mit Mitternachtsbussen, und Norwegen sagt, es sei zu weit gegangen",Die Traditionen haben sich im Laufe der Jahre geändert und jetzt geben Jugendliche Vermögen für die Einstellung Partybusse aus.,"Los que abandonan la escuela hacen una fiesta durante semanas en autobuses de medianoche, y Noruega dice que ha ido demasiado lejos.",Las tradiciones han cambiado a lo largo de los años y ahora los adolescentes están gastando fortunas en la contratación de autobuses de fiesta.,"Fête des sortants de l'école pendant des semaines sur les bus de minuit, et la Norvège dit que c'est allé trop loin",Les traditions ont changé au fil des ans et maintenant les adolescents dépensent des fortunes dans l'embauche de bus de fête.,在午夜巴士上办了几个星期的离校派对 挪威说太远了,"传统多年来已经改变, 现在青少年正在花钱雇用派对巴士。"
13,The Papers: 'Key worker' and 'Nazi' slur,Most of Saturday's front pages lead on Donald Trump gifting Elon Musk a key to mark his last day in office at Doge.,Die Papiere: 'Schlüsselarbeiter' und 'Nazi',"Die meisten Titelseiten des Samstags führen dazu, dass Donald Trump Elon Musk einen Schlüssel zu seinem letzten Tag im Amt in Doge schenkt.",Los papeles: 'trabajador clave' y insultos 'nazis',La mayoría de las portadas del sábado llevan a Donald Trump regalando a Elon Musk una llave para marcar su último día en el cargo en Doge.,Les documents: 'Key worker' et 'Nazi' slur,La plupart des premières pages de samedi mènent sur Donald Trump donnant Elon Musk une clé pour marquer son dernier jour au bureau à Doge.,论文:“钥匙工人”和“纳粹”,大部分周六的头版头版 都写着唐纳德·特朗普 赠送埃隆·穆斯克一把钥匙 纪念他在多吉任职的最后一天
14,North and South Korea are in an underground war - Kim Jong Un might now be winning,The neighbouring countries have long been embroiled in a war of information. But has there been a recent shift in who has the ‘upper hand’?,Nord- und Südkorea befinden sich in einem Untergrundkrieg - Kim Jong Un könnte jetzt gewinnen,"Die Nachbarländer sind seit langem in einen Informationskrieg verwickelt, aber gibt es in jüngster Zeit eine Verschiebung, wer hat die „obere Hand""?",Corea del Norte y Corea del Sur están en una guerra clandestina - Kim Jong Un ahora podría estar ganando,"Los países vecinos han estado durante mucho tiempo envueltos en una guerra de información, pero, ¿ha habido un cambio reciente en quién tiene la ""manos arriba""?",La Corée du Nord et du Sud sont dans une guerre clandestine - Kim Jong Un pourrait maintenant gagner,"Les pays voisins sont depuis longtemps mêlés à une guerre de l'information, mais y a-t-il eu un changement récent dans la main supérieure?",北韩和南韩正处在地下战争中 金正恩现在可能胜利了,邻国长期卷入信息战。 但最近谁拥有“上手 ” ?
15,University dropout to rising star: Why folk singer Jacob Alon is one to watch,The singer's music has been called delicate and otherworldly. Get to know them before everyone else.,Universitätsabbruch zum aufsteigenden Stern: Warum Volkssänger Jacob Alon zusehen muss,Die Musik des Sängers wurde delikat und andersweltlich genannt. Lernen Sie sie vor allen anderen kennen.,El abandono de la universidad a la estrella en ascenso: ¿Por qué el cantante folk Jacob Alon es uno para ver,La música de la cantante se ha llamado delicada y de otro mundo. Llegar a conocerlos antes que todos los demás.,L'abandon de l'université à la star montante: Pourquoi le chanteur folk Jacob Alon est un à regarder,La musique de la chanteuse a été qualifiée de délicate et d'autre monde. Apprenez à les connaître avant tout le monde.,大学辍学成为新星:为什么民间歌手Jacob Alon是观众之一?,歌手的音乐被称作微妙的 和其他世界的音乐 在其他人之前了解他们
16,Jeremy Clarkson's new co-star: 'I wear make-up but it doesn't mean I can't be a farmer',Harriet Cowan says she wants to represent young female farmers and champion mental health.,"Jeremy Clarksons neuer Co-Star: ""Ich trage Make-up, aber das bedeutet nicht, dass ich kein Farmer sein kann.""","Harriet Cowan sagt, sie wolle junge Bauerninnen vertreten und für die psychische Gesundheit eintreten.",El nuevo co-estrella de Jeremy Clarkson: 'Yo uso maquillaje pero eso no significa que no pueda ser un granjero',Harriet Cowan dice que quiere representar a las jóvenes agricultoras y defender la salud mental.,"La nouvelle co-star de Jeremy Clarkson : ""Je me maquille mais ça ne veut pas dire que je ne peux pas être fermier""",Harriet Cowan dit qu'elle veut représenter les jeunes agricultrices et défendre la santé mentale.,"Jeremy Clarkson的新伴星: ""我化妆了,但这并不意味着我不能当农民""","Harriet Cowan说,她想代表年轻女性农民和心理健康冠军。"
17,Jacqueline Wilson says she wouldn't return to Tracy Beaker as an adult,The popular author tells the Hay Festival she would be wary of writing about Beaker in later life.,"Jacqueline Wilson sagt, sie würde nicht als Erwachsener nach Tracy Beaker zurückkehren.","Die beliebte Autorin erzählt dem Hay Festival, dass sie sich davor hüten würde, später über Beaker zu schreiben.",Jacqueline Wilson dice que no volvería con Tracy Beaker como adulta.,La autora popular le dice al Festival de Hay que ella sería cautelosa de escribir sobre Beaker en la vida posterior.,Jacqueline Wilson dit qu'elle ne retournerait pas à Tracy Beaker en tant qu'adulte,L'auteure populaire raconte au Hay Festival qu'elle se méfierait d'écrire sur Beaker dans la vie ultérieure.,Jacqueline Wilson说她成人时不会回到Tracy Beaker,"受欢迎的作者告诉Hay节,她晚年会小心写关于Beaker的文章。"
18,"Illness, homelessness and a 630-mile trek: The woman who inspired Hollywood film",Raynor Winn's journey inspired a Hollywood film featuring Gillian Anderson and Jason Isaacs.,"Krankheit, Obdachlosigkeit und ein 630-Meilen-Trek: Die Frau, die Hollywood-Film inspirierte",Raynor Winns Reise inspirierte einen Hollywood-Film mit Gillian Anderson und Jason Isaacs.,"La enfermedad, la falta de vivienda y una caminata de 630 millas: La mujer que inspiró la película de Hollywood",El viaje de Raynor Winn inspiró una película de Hollywood con Gillian Anderson y Jason Isaacs.,"Maladie, sans-abri et un trek de 630 miles: La femme qui a inspiré le film Hollywood",Le voyage de Raynor Winn a inspiré un film hollywoodien mettant en vedette Gillian Anderson et Jason Isaacs.,疾病、无家可归和630英里长的长途跋涉:激励好莱坞电影的女人,"Raynor Winn的旅程启发了一部好莱坞电影,电影的主角是Gillian Anderson和Jason Isacs。"
19,"In Oval Office farewell, Trump says Elon Musk is 'not really leaving'",Musk's time in government ended with a colourful Oval Office meeting at Trump's side.,"Im Oval Office Abschied, Trump sagt Elon Musk 'nicht wirklich gehen'",Musks Regierungszeit endete mit einem bunten Treffen des Oval Office an Trumps Seite.,"En la despedida de Oval Office, Trump dice que Elon Musk 'no se va'",El tiempo de Musk en el gobierno terminó con una colorida reunión de la Oficina Oval al lado de Trump.,"Au revoir à Oval Office, Trump dit qu'Elon Musk ne s'en va pas vraiment.",Le temps passé par Musk au gouvernement s'est terminé par une réunion colorée du Bureau ovale aux côtés de Trump.,"在Oval Office的告别中,Trump说Elon Musk没有真正离开",穆斯克在政府里的时间结束 在特朗普的身边 举行了多彩的总统办公室会议
