,title-en,content-en,title-de,content-de,title-es,content-es,title-fr,content-fr,title-zh,content-zh
0,"Ayatollah Ali Khamenei, Iran’s great survivor",War with Israel has put the Islamic Republic’s supreme leader back in his Manichean comfort zone,"Ayatollah Ali Khamenei, Irans großer Überlebender",Krieg mit Israel hat die Islamische Republik wieder in seine manichäische Komfortzone gebracht,"Ayatolá Ali Jamenei, el gran sobreviviente de Irán",La guerra con Israel ha vuelto a poner al líder supremo de la República Islámica en su zona de confort maniquea,"Ayatollah Ali Khamenei, Iran est un grand survivant",La guerre avec Israël a remis le chef suprême de la République islamique dans sa zone de confort manichéenne,伊朗伟大幸存者阿亚图拉阿里·哈梅内伊,与以色列的战争 使伊斯兰共和国的最高领袖 回到他的摩尼教舒适区
1,"Teeth, pain and Ukraine",A nation’s nervous system is on high alert,"Zähne, Schmerzen und Ukraine","Eine Nation, das Nervensystem, ist auf hoher Alarmstufe","Dientes, dolor y Ucrania",El sistema nervioso de una nación está en alerta máxima,"Dents, douleur et Ukraine",Un système nerveux national est en haute alerte,牙齿、疼痛和乌克兰,国家神经系统处于高度戒备状态
2,MAGA devotees are split over going to war with Iran,A fight over what America First means and who gets to define it,MAMA-Anhänger werden in den Krieg mit dem Iran zersplittert,"Ein Kampf um das, was America First bedeutet und wer es definieren darf",Los devotos de MAGA están divididos en ir a la guerra con Irán,Una lucha por lo que significa America First y quién puede definirlo,Les dévots de MAGA sont divisés pour aller à la guerre avec l'Iran,Un combat pour ce que signifie l'Amérique d'abord et qui peut le définir,MAGA的化工因与伊朗开战而分裂,争夺美国第一的意义 以及谁能定义它
3,Trump v Iran: a negotiation made in hell,The president is unreliable. The Islamic Republic is inflexible,Trump gegen Iran: Verhandlungen in der Hölle,Der Präsident ist unzuverlässig. Die Islamische Republik ist unflexibel,Trump contra Irán: una negociación hecha en el infierno,"El presidente no es confiable, la República Islámica es inflexible.",Trump / Iran : une négociation faite en enfer,"Le président n'est pas fiable, la République islamique est inflexible.",Trump诉伊朗:在地狱中进行的谈判,总统不可靠 伊斯兰共和国是僵硬的
4,How the US may join the war between Iran and Israel,"Our weekly podcast on democracy in America. This week, President Donald Trump has said he’ll decide whether to join the war within two weeks. How entangled might the country become in a foreign war? And what would that mean for MAGA?",Wie die USA dem Krieg zwischen Iran und Israel beitreten können,"Unser wöchentlicher Podcast über Demokratie in Amerika. Diese Woche hat Präsident Donald Trump gesagt, dass er entscheidet, ob er innerhalb von zwei Wochen dem Krieg beitritt. Wie verstrickt könnte das Land in einen ausländischen Krieg werden? Und was würde das für MAMA bedeuten?",Cómo Estados Unidos puede unirse a la guerra entre Irán e Israel,"Nuestro podcast semanal sobre la democracia en Estados Unidos. Esta semana, el presidente Donald Trump ha dicho que decidirá si se unirá a la guerra en dos semanas. ¿Qué tan enredado podría llegar a estar el país en una guerra extranjera? ¿Y qué significaría eso para MAGA?",Comment les États-Unis peuvent-ils rejoindre la guerre entre l'Iran et Israël?,"Notre podcast hebdomadaire sur la démocratie en Amérique. Cette semaine, le président Donald Trump a dit qu'il déciderait s'il allait rejoindre la guerre dans un délai de deux semaines.",美国如何加入伊朗和以色列之间的战争,"我们每周一次的关于美国民主的播客。 本周,总统唐纳德·特朗普(Donald Trump)说,他将在两周内决定是否加入战争。 这个国家会如何陷入外国战争? 这对MAGA意味着什么?"
5,Do longevity drugs work?,Animal studies suggest rapamycin is as effective as long-term fasting,Funktionieren Langlebigkeitsmedikamente?,"Tierexperimentelle Studien deuten darauf hin, dass Rapamycin ebenso wirksam ist wie langfristiges Fasten",¿Funcionan los medicamentos para la longevidad?,Estudios en animales sugieren que la rapamicina es tan eficaz como el ayuno a largo plazo,Est-ce que les médicaments de longévité fonctionnent?,Des études chez l'animal suggèrent que la rapamycine est aussi efficace que le jeûne à long terme,长寿药物有效吗?,动物研究显示 素 与长期禁食一样有效
6,Cover Story newsletter: How we chose the cover image,,Cover Story Newsletter: Wie wir das Coverbild gewählt haben,,Portada del boletín: Cómo elegimos la imagen de la portada,,Cover Story newsletter: Comment nous avons choisi l'image de couverture,,封面新闻通讯:我们如何选择封面图像,
7,Gaza is in a bloody limbo as the battle over Iran rages,Deadly shootings at aid-distribution sites are happening almost daily,"Gaza befindet sich in einer blutigen Schwebe, während der Kampf um den Iran tobt",Tödliche Schießereien auf Hilfs-Verteilungsstellen geschehen fast täglich,Gaza está en un limbo sangriento mientras la batalla sobre Irán se enfurece,Los tiroteos mortales en los sitios de distribución de ayuda están ocurriendo casi a diario,Gaza est dans un limbe sanglant alors que la bataille contre l'Iran fait rage,Des fusillades mortelles sur des sites de distribution d'aide se produisent presque tous les jours,"随着争夺伊朗的战斗爆发,加沙正处在血腥的绝境之中。",援助分配地点几乎每天都发生致命枪击事件
8,What to watch this weekend,"In this week’s list, the water is not so fine",Was an diesem Wochenende zu sehen,"In dieser Woche Liste, ist das Wasser nicht so fein",Qué ver este fin de semana,"En la lista de esta semana, el agua no es tan fina",Que regarder ce week-end,"Dans cette liste de semaines, l'eau n'est pas si fine",这周末看什么看这个周末,"在本周的列表中,水不是那么好。"
9,How zombies explain Brexit: the satire of “28 Years Later”,"In a post-apocalyptic horror sequel, monsters and mockery co-exist",Wie Zombies den Brexit erklären: die Satire von 28 Jahren später,In einer postapokalyptischen Horror-Folge existieren Monster und Spott,Cómo explican los zombies el Brexit: la sátira de “28 años después”,"En una secuela de horror post-apocalíptico, monstruos y burlas coexisten",Comment les zombies expliquent le Brexit: la satire de 28 ans plus tard,"Dans une suite d'horreur post-apocalyptique, monstres et moqueries coexistent",僵尸如何解释Brexit:“28年后”的讽刺。,"在世界末日之后的恐怖之后, 怪物和嘲弄共存"
