,count,example,word-de,word-en,word-zh
0,124,Unbekannter Stoff verletzt mehrere DHL-Mitarbeiter in Bayern,in,in,. . .
1,93,Entwicklungsministerin Reem Alabali Radovan und UNICEF-Exekutivdirektorin Catherine Russell sprechen zur Lage der Kinder in Gaza,der,of the,- ... ... ...
2,75,Verbale Schlammschlacht zwischen Elon Musk und Donald Trump,und,and,...而且... ...
3,72,Hamburg Sustainability Conference vereint eine Welt im Umbruch für nachhaltige Zukunftsallianzen,für,for,- ... 为...
4,57,"Russland greift massiv an, die Ukraine attackiert Flugplätze",die,the,- - - -
5,42,Israel bewaffnet palästinensische Clans im Gazastreifen,im,In the,. . .
6,36,Krankheitsfall: Maserninfektion in Oberbayern - Weitere Infizierte erwartet,-,"- No, no, no, no, no, no, no.",- - -
7,35,"Russland greift massiv an, die Ukraine attackiert Flugplätze",an,to,印在... ...
8,33,Justizministerkonferenz: Minister verurteilen Angriffe auf Justiz - Dulden wir nicht,auf,on the,. . .
9,33,Nürnberg: Mehrere Verletzte nach Zwischenfall in DHL-Verteilerzentrum,nach,after,. . . . .
10,32,Nations League: Lamine Yamal zaubert bei Spaniens Sieg gegen Frankreich,bei,in the case of:,. . . .
11,31,Trotz Kritik: Deutschland steht zu Israel,Deutschland,Germany,"德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国."
12,30,"Haare glätten: ""Eine Kundin hat ihre Haare mit einem Bügeleisen geglättet""",mit,with,...是... ...
13,28,Entwicklungsministerin Reem Alabali-Radovan und UNICEF-Exekutivdirektorin Catherine Russell sprechen zur Lage der Kinder in Gaza,Alabali-Radovan,Alabali Radovan,阿拉巴利 -拉多万
14,27,Nations League: Lamine Yamal zaubert bei Spaniens Sieg gegen Frankreich,gegen,against,被告人... ...
15,26,Donald Trump verabschiedet sich von Elon Musk,von,from,作者:
16,25,News kompakt: Kanzler Merz in den USA freundlich aufgenommen,Merz,Merz,梅爾茲
17,25,Wie Bundestagspräsidentin Klöckner ihr neues Amt ausübt,Wie,How,如何... ...如何... ...如何...
18,25,Trotz Kritik: Deutschland steht zu Israel,zu,to,...到... ...
19,24,Entwicklungsministerin Reem Alabali Radovan und UNICEF-Exekutivdirektorin Catherine Russell sprechen zur Lage der Kinder in Gaza,Entwicklungsministerin,Minister for Development,发展部部长
20,23,Massenproteste in Serbien vor neuem Höhepunkt?,vor,before,...前... ...
21,23,Entwicklungsministerin Reem Alabali Radovan und UNICEF-Exekutivdirektorin Catherine Russell sprechen zur Lage der Kinder in Gaza,zur,to the,...到... ...
22,22,Verbale Schlammschlacht zwischen Elon Musk und Donald Trump,Trump,Trump,特朗普 特朗普
23,20,Impulsgeber aus aller Welt stärken internationale Zusammenarbeit,aus,from,. . . .
24,18,News kompakt: Kanzler Merz in den USA freundlich aufgenommen,den,the,. . . .
25,18,"Russland greift massiv an, die Ukraine attackiert Flugplätze",Ukraine,Ukraine,乌克兰
26,17,Impulsgeber aus aller Welt stärken internationale Zusammenarbeit,Welt,World,世界
27,17,"Nach USAID-Aus: Bill Gates will in Afrika ""all-in"" gehen",will,want,...我... ...
28,16,Israel bewaffnet palästinensische Clans im Gazastreifen,Israel,Israel,"以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列."
29,16,Warum Thomas Mann in Japan so populär ist,ist,is,. . . . .
30,16,"Ministerin Alabali Radovan zum Abschlussbericht der Kommission ""Welt im Umbruch – Deutschland und der Globale Süden""",zum,to the,...到... ...
31,15,"Musk brandmarkt Trumps Steuergesetz als ""Abscheulichkeit""",als,as,...当... ...
32,15,Deutschland tritt ein für Nachhaltigkeit und multilaterale Lösungen,ein,a,"一,二,三,四,三,四,四,四"
33,15,Deutschland und Polen wollen Zusammenarbeit vertiefen,Polen,Poland,"波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人,波兰人."
34,15,News kompakt: Kanzler Merz in den USA freundlich aufgenommen,USA,USA,"美国,美国,美国,美国,美国,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美"
35,14,Hamburg Sustainability Conference vereint eine Welt im Umbruch für nachhaltige Zukunftsallianzen,Hamburg,Hamburg,汉堡
36,14,Entwicklungsministerin Reem Alabali Radovan und UNICEF-Exekutivdirektorin Catherine Russell sprechen zur Lage der Kinder in Gaza,Reem,Reem,Reem Reem
37,14,"Russland greift massiv an, die Ukraine attackiert Flugplätze",Russland,Russia,俄罗斯
38,14,Außenminister Johann Wadephul und Entwicklungsministerin Reem Alabali Radovan zur Aufhebung aller Wirtschaftssanktionen gegen Syrien,Wadephul,Wadephul,Wadephul.
39,13,Hamburg Sustainability Conference vereint eine Welt im Umbruch für nachhaltige Zukunftsallianzen,eine,one,一个... ...一个... ...一个...
40,13,Was über den ukrainischen Drohnenangriff bekannt ist,über,on,- - - -
41,12,Verbale Schlammschlacht zwischen Elon Musk und Donald Trump,Musk,Musk,穆斯卡?
42,12,Ukraine-Liveblog: ++ Tote und Verletzte nach Angriffen auf Kiew ++,Tote,Dead,死人
43,12,Jette Nietzard: Was die Causa Nietzard für die Grünen bedeutet,Was,What,什么?
44,11,Zwischen Chaos und Demokratie: Libyen steht am Scheideweg,am,Date,是... ...
45,11,Clint Eastwood und das vermeintliche Interview,das,the,那个...
46,11,Reem Alabali-Radovan ist neue Bundesentwicklungsministerin,neue,new,新的...
47,11,Hamburg Sustainability Conference vereint eine Welt im Umbruch für nachhaltige Zukunftsallianzen,Umbruch,Change,改道了
48,10,Impulsgeber aus aller Welt stärken internationale Zusammenarbeit,aller,all,每个人
49,10,Entwicklungsministerin Reem Alabali Radovan und UNICEF-Exekutivdirektorin Catherine Russell sprechen zur Lage der Kinder in Gaza,Gaza,Gaza,加沙
50,10,Merz fordert von Netanjahu mehr Hilfe für den Gazastreifen,mehr,more,更多
51,10,Hamburg Sustainability Conference vereint eine Welt im Umbruch für nachhaltige Zukunftsallianzen,nachhaltige,sustainable,"可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的,可持续的, 可持续的,可持续的,可持续的的,"
52,10,Präsidentenwahl: Südkorea hofft auf Stabilität nach dem Chaos,Präsidentenwahl,Presidential election,总统选举
53,10,Donald Trump verabschiedet sich von Elon Musk,sich,you,自我
54,10,Isar Valley: Warum München Startup Talente anzieht,Warum,Why,为什么?
55,9,Unfall: Taxi fährt beim Einparken gegen Mauer - Drei Verletzte,beim,at the,. . . .
56,9,Marktbericht: Anleger lassen es ruhiger angehen,es,it,...它... ...
57,9,Einladung zur Mitzeichnung der Hamburger Erklärung zu verantwortungsvoller KI für die SDGs,Hamburger,Hamburger,{\fn黑体\fs22\bord1\shad0\3aHBE\4aH00\fscx67\fscy66\2cHFFFFFF\3cH808080}汉堡包 {\fnarial black\fs12\bord1\shad0\4aH00\fscx90\fscy110}Burgers.
58,9,Trotz Kritik: Deutschland steht zu Israel,Kritik,Criticism,批評?
59,9,Unfall: Taxi fährt beim Einparken gegen Mauer - Drei Verletzte,Verletzte,Injured,受伤的伤员
60,9,Grenzkontrollen: Niederlande sperren Straßen wegen deutscher Grenzkontrollen,wegen,for,因为... ...因为...
61,9,Trumps Travel Ban: Die USA schotten sich weiter ab,weiter,continue,向前看
62,9,News kompakt: Rechtsnationalist wird Präsident in Polen,wird,will,. . . . . .
63,9,Verbale Schlammschlacht zwischen Elon Musk und Donald Trump,zwischen,between,...在... ...
64,8,Klimaschutz auf dem Rückzug?,dem,The,...他... ...
65,8,"Ministerin Alabali Radovan zum Abschlussbericht der Kommission ""Welt im Umbruch – Deutschland und der Globale Süden""",Globale,Global,全球化
66,8,Entwicklungsministerin Reem Alabali Radovan und UNICEF-Exekutivdirektorin Catherine Russell sprechen zur Lage der Kinder in Gaza,Kinder,Children,孩子们
67,8,Justizministerkonferenz: Minister verurteilen Angriffe auf Justiz - Dulden wir nicht,nicht,not,"不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不."
68,8,Asien: Südkorea wählt einen neuen Präsidenten,Südkorea,South Korea,"韩国人,韩国人,韩国人,韩国人,韩国人,韩国人"
69,8,Ukraine-Liveblog: ++ Tote und Verletzte nach Angriffen auf Kiew ++,Ukraine-Liveblog,Ukraine live blog,乌克兰历史博客
70,8,Trotz Gerichtsentscheidung: Dobrindt hält an Zurückweisungen fest,Zurückweisungen,Rejections,拒绝
71,8,Impulsgeber aus aller Welt stärken internationale Zusammenarbeit,Zusammenarbeit,Cooperation,合作
72,7,AfD und radikale Christen: Traum von anderer Gesellschaft,AfD,AfD,AfD
73,7,Außenminister Johann Wadephul und Entwicklungsministerin Reem Alabali Radovan zur Aufhebung aller Wirtschaftssanktionen gegen Syrien,Außenminister,Minister for Foreign Affairs,"Foreign Secretary, Foreign Secretary, Foreign Secretary"
74,7,Der heimatlose Deutsche: 150 Jahre Thomas Mann,Deutsche,German,德国佬
75,7,ESA: Besserer Schutz vor Cyberattacken,ESA,ESA,Easy Easy East
76,7,Von der Leyen wirbt für europäische Unabhängigkeit,europäische,European,"欧洲,欧洲,欧洲,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟,欧盟."
77,7,Israel bewaffnet palästinensische Clans im Gazastreifen,Gazastreifen,Gaza,加沙地带
78,7,Einladung zur Mitzeichnung der Hamburger Erklärung zu verantwortungsvoller KI für die SDGs,KI,AI,人工智慧
79,7,Entwicklungsministerin Reem Alabali Radovan und UNICEF-Exekutivdirektorin Catherine Russell sprechen zur Lage der Kinder in Gaza,Lage,Situation,情况危急
80,7,Deutschland tritt ein für Nachhaltigkeit und multilaterale Lösungen,Lösungen,Solutions,解决之道
81,7,Marktbericht: Anleger lassen es ruhiger angehen,Marktbericht,Market report,市场报告
82,7,Deutschland tritt ein für Nachhaltigkeit und multilaterale Lösungen,Nachhaltigkeit,Sustainability,"可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性,可持续性."
83,7,Designierter Präsident: Nawrocki kündigt Widerstand gegen Tusk an,Nawrocki,Nawrocki,纳瓦基
84,7,"Ministerin Alabali Radovan zum Abschlussbericht der Kommission ""Welt im Umbruch – Deutschland und der Globale Süden""",Süden,South,"南面,南面"
85,7,Entwicklungsministerin Alabali Radovan trifft UN-Generalsekretär Guterres,trifft,meets,打中了
86,7,Deutschland tritt ein für Nachhaltigkeit und multilaterale Lösungen,tritt,Steps,踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊 踢啊
87,7,Trotz Kritik: Deutschland steht zu Israel,Trotz,Despite,纵使如此
88,7,Sachsens Minderheitsregierung aus CDU und SPD ringt um Haushalt,um,for,. . . .
89,7,UN Women bezieht Büro in Bonn,UN,UN,联合国
90,7,Zwei Männer im Mordfall Caruana Galizia schuldig gesprochen,Zwei,Two,二...
91,7,"Ministerin Alabali Radovan zum Abschlussbericht der Kommission ""Welt im Umbruch – Deutschland und der Globale Süden""",–,–,\ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ >
