,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Estland ist Europameister bei der Digitalisierung,"Deutschland ist ein analoges Land in einer digitalen Welt. Um hier aufzuholen, könnten die Deutschen sich an Estland orientieren. Der baltische Staat hat Europas digitale Führung übernommen.",Estonia is the European champion in digitisation,"Germany is an analogue country in a digital world. In order to catch up, the Germans could orient themselves to Estonia. The Baltic state has taken over Europe's digital leadership.",爱沙尼亚是数字化欧洲冠军,"德国是一个数字世界中的模拟国家. 为了赶上这里,德国可以向爱沙尼亚方向前进. 波罗的海国家已经取代了欧洲数字领导层."
1,Künstliche Intelligenz auf dem Vormarsch,"Verliert Deutschland beim Thema künstliche Intelligenz den Anschluss? Die Bundesregierung will jetzt mit einer Digitalstrategie gegensteuern. Die Zeit drängt, denn die Umwälzungen durch die Digitalisierung sind gewaltig.",Artificial intelligence on the rise,"Does Germany lose its connection to artificial intelligence? The Federal Government now wants to counter with a digital strategy. Time is pressing, because the upheavals caused by digitalization are enormous.",人工智能在行进中,"德国是否在人工智能问题上失去了联系? 联邦政府现在正在采取数字战略来抵御它. 时间紧迫,因为数字化所导致的改变是巨大的."
2,Digitale Souveränität: Schleswig-Holstein will weg von Big Tech,"In Europa wird wieder viel von digitaler Souveränität gesprochen. Dabei ist die Abhängigkeit von US-Techfirmen, deren Software und Cloud-Lösungen groß. Das muss nicht sein, wie das Bundesland Schleswig-Holstein zeigt.",Digital sovereignty: Schleswig-Holstein wants to get away from Big Tech,"In Europe, there is a lot of talk about digital sovereignty again, and the dependence on US tech companies, their software and cloud solutions, is huge. That doesn't have to be, as the state of Schleswig-Holstein shows.",数码主权: 斯莱斯威格堡想要远离大科技,"在欧洲,人们又开始谈论数字主权了. 而依赖于美国技术公司,它们的软件和云解决方法巨大. 这并不一定像斯莱斯维格堡所显示的那样重要."
3,Tödliches Bootsunglück in Vietnams Halong-Bucht,Ein Wirbelsturm überrascht ein Touristenboot in Vietnams Halong-Bucht mit zahlreichen Kindern an Bord. Viele Menschen kommen ums Leben. Die Suche nach Vermissten dauert an. Die Regierung verspricht Aufklärung.,Deadly boat crash in Vietnam's Halong Bay,A hurricane surprises a tourist boat in Vietnam's Halong Bay with numerous children on board. Many people are killed. The search for missing persons continues. The government promises enlightenment.,越战海隆湾遇刺身亡,"飓风袭击了越南海隆湾的一艘旅游船,载有大量儿童,许多人丧生. 对失踪人口的搜寻正在持续. 政府承诺提供教育."
4,China startet Bau von Riesen-Staudamm in Tibet,"Der neue Staudamm soll China nach offizieller Darstellung beim Erreichen seiner Klimaziele helfen. Umweltschützer haben aber Bedenken, außerdem droht diplomatischer Zwist.",China launches construction of giant dam in Tibet,"The new dam is supposed to help China achieve its climate targets, according to official statements. Environmentalists have concerns, but diplomatic conflict is also threatening.",中国开始在西藏建造大坝,"新的大坝应该在正式表态后帮助中国实现其气候目标. 但环境保护者担心,外交挑战可能受到威胁."
5,Drusen erobern Stadt Suwaida in Südsyrien vollständig zurück,"Nach schweren Kämpfen in Südsyrien kontrollieren drusische Milizen die Stadt Suwaida. 
Dort scheint sich die Lage zu beruhigen. In anderen Teilen der Region wird noch gekämpft - trotz offizieller Waffenruhe.",Druses completely conquer the city of Suwaida in southern Syria,"After heavy fighting in southern Syria, Druze militias control the city of Suwaida. There, the situation seems to calm down. In other parts of the region, fighting is still taking place - despite official ceasefire.",德鲁士人完全夺回了南叙利亚的苏瓦达城,"在南叙利亚的激烈战斗中,多斯拉克民兵控制着苏瓦达城,情况似乎平静了下来. 该地区其他地区仍然有战斗,尽管官方停火."
6,Tausende protestieren in Polen gegen Migration,In ganz Polen gingen Tausende Menschen gegen Einwanderung auf die Straße - organisiert von der rechtspopulistischen Partei Konfederacja. Diese polarisiert mit radikalen Parolen und gewinnt zunehmend an Einfluss.,Thousands protest against migration in Poland,"Throughout Poland, thousands of people went to the streets against immigration - organized by the right-wing populist party Konfederacja. This polarizes with radical slogans and increasingly gains influence.",波兰有数千名抗议移民的抗议者,"波兰各地有成千上万的人走上街头反对移民 - 由右翼民粹主义政党孔费亚组织. 这种极端的口号使这种极化,并日益增加影响力."
7,Ukraine: Präsident Selenskyj macht Russland ein Angebot,Der ukrainische Präsident Selenskyj will neuen Schwung in die Verhandlungen mit Russland über eine Waffenruhe bringen. Für nächste Woche schlägt er ein Treffen auf Führungsebene vor.,Ukraine: President Selenskyi makes Russia an offer,Ukrainian President Selenskyi wants to bring new momentum to the negotiations with Russia on a ceasefire. For next week he proposes a meeting at leadership level.,乌克兰:塞伦斯基总统向俄罗斯提出提议,乌克兰总统塞伦斯基 (Selensky) 想要在与俄罗斯进行停火谈判中取得新的进展. 他提议下周召开一次高级别会议.
8,"Olga Kharlan vor Fecht-WM: ""Russen nicht die Hand schütteln""","Die ukrainische Top-Fechterin verurteilt im DW-Interview scharf die Entscheidung des Weltverbands FIE, die Neutralitätsregel für russische Aktive zu lockern und fürchtet um die olympische Zukunft ihrer Sportart.","Olga Kharlan in front of Fencing World Cup: ""Don't shake your hand""",The Ukrainian top fencer strongly condemns in the DW interview the decision of the World Federation FIE to loosen the neutrality rule for Russian activists and fears for the Olympic future of their sport.,"冠军赛前的奥尔加·卡兰说 ""别和人握手""","乌克兰第一剑客在DW访问中谴责世界橄榄球联盟对俄罗斯活动者的中立政策作出了判决,并担心奥林匹克运动会的未来."
9,Sambias Cyber-Gesetz - Schutz für Bürger oder Unterdrückung?,In Sambia sollen neue Cybersicherheitsgesetze die Bürger vor Online-Betrug und Identitätsdiebstahl schützen. Kritiker sehen darin jedoch einen Angriff auf die Meinungsfreiheit.,Zambia's Cyber Law - Protection for Citizens or Suppression?,"In Zambia, new cybersecurity laws are designed to protect citizens from online fraud and identity theft, but critics see this as an attack on freedom of expression.",赞比亚的网络法案 保护公民或压迫?,"在赞比亚,新的网络安全法旨在保护公民不受在线访问和盗窃身份的侵犯. 但批评者认为这些法律是对言论自由自由的攻击."
