,count,example,word-de,word-en,word-es
0,493,Mapa de la expansión y claves para entender el coronavirus de Wuhan,von,of,de
1,348,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",den,on,el
2,319,Mapa de la expansión y claves para entender el coronavirus de Wuhan,die,ed,la
3,174,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",a,a,a
4,174,Ciudadanos pagaba un sueldo a un vocal de la Junta Electoral Central que resolvió recursos del partido,ein,a,un
5,145,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",Coronavirus,coronavirus,coronavirus
6,145,El turismo italiano se resiente; España mira expectante,se,I know.,se
7,116,“La magnitud del problema del coronavirus no será diferente a una gripe”,vom,of the,del
8,116,Así avanzan las encuestas en Galicia y País Vasco,ng,in,en
9,116,El Gobierno salva el primer escollo de los Presupuestos gracias a ERC,die,the,los
10,116,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",durch,by,por
11,116,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",was,that,que
12,116,Mapa de la expansión y claves para entender el coronavirus de Wuhan,und,and,y
13,87,Así avanzan las encuestas en Galicia y País Vasco,die,the,las
14,87,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",für,for,para
15,87,“La magnitud del problema del coronavirus no será diferente a una gripe”,eine,one,una
16,58,Así avanzan las encuestas en Galicia y País Vasco,So.,Like this.,Así
17,58,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,gegen,against,contra
18,58,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,Europäer,European,europeos
19,58,Mapa de la expansión y claves para entender el coronavirus de Wuhan,Erweiterung,expansion,expansión
20,58,Así gestionan nuestros vecinos europeos la expansión de Airbnb,unsere,ours,nuestros
21,58,Así avanzan las encuestas en Galicia y País Vasco,Land,Country,País
22,58,China desvela de qué está hecha la cara oculta de la Luna,was?,what,qué
23,58,El coronavirus de Wuhan | Japón cerrará todos sus centros escolares hasta fin de marzo,",",their,sus
24,58,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,Trump,Trump,Trump
25,58,Mapa de la expansión y claves para entender el coronavirus de Wuhan,Wuhan,Wuhan,Wuhan
26,58,“La magnitud del problema del coronavirus no será diferente a una gripe”,"B. mit einem Gewicht von mehr als 1 kg, jedoch nicht mehr als 1 kg,",“The,“La
27,29,La mesa de diálogo se reunirá mensualmente y los acuerdos serán “en el marco de la seguridad jurídica”,Vereinbarungen,agreements,acuerdos
28,29,Así gestionan nuestros vecinos europeos la expansión de Airbnb,Airbnb,Airbnb,Airbnb
29,29,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,am,as at,al
30,29,Javier Bardem: “Hoy hay algún Hernán Cortés en el Congreso”,Irgendwelche,some,algún
31,29,Plácido Domingo anula sus representaciones en el Real antes de que el teatro las cancelara,vorher,before,antes
32,29,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,alt,old,antiguos
33,29,Plácido Domingo anula sus representaciones en el Real antes de que el teatro las cancelara,storniert,cancels,anula
34,29,Especial EL PAÍS en Arco | Muntadas: “La sociedad ha degradado las palabras”,Bogen,Arc,Arco
