,title-es,content-es,title-de,content-de,title-en,content-en
0,Colapsa el techo de una capilla de la zona donde se originó el incendio de la Mezquita de Córdoba,"Hay otras dos capillas afectadas. El edificio se ha abierto con normalidad este sábado para las visitas, excepto la zona afectada, tras extinguirse completamente las llamas pasada la medianoche","Das Dach einer Kapelle in der Gegend, in der das Feuer der Moschee von Córdoba entstanden ist, kollabiert.","Es gibt zwei weitere Kapellen, die betroffen sind. Das Gebäude hat sich an diesem Samstag für die Besichtigungen geöffnet, mit Ausnahme der betroffenen Zone, nachdem die Flammen nach Mitternacht vollständig ausgestorben sind.",Collapses the roof of a chapel in the area where the fire of the Mosque of Córdoba originated,"There are two other chapels affected. The building has been opened normally this Saturday for visits, except the affected area, after the flames were completely extinguished after midnight"
1,Así ha quedado la capilla de la Mezquita de Córdoba afectada tras el incendio,"Las llamas han provocado el derrumbe de la capilla donde se ha originado el incendio, pero no ha afectado a las cercanas de más de cuatro siglos",So ist die Kapelle der Moschee von Córdoba nach dem Feuer betroffen,"Die Flammen haben den Zusammenbruch der Kapelle verursacht, in der das Feuer entstanden ist, aber sie haben die nahen vier Jahrhunderte nicht getroffen.",This is how the chapel of the Mosque of Córdoba was affected after the fire.,"The flames have caused the collapse of the chapel where the fire has originated, but it has not affected the near ones of more than four centuries"
2,Zelenski advierte de que Ucrania nunca reconocerá la soberanía rusa de los territorios ocupados,"El presidente realiza una ronda de contacto con líderes europeos, entre ellos, Pedro Sánchez, para buscar apoyo contra un proceso de paz sin Kiev","Zelenski warnt davor, dass die Ukraine die russische Souveränität der besetzten Gebiete nie anerkennen wird.","Der Präsident führt eine Kontaktrunde mit europäischen Führern durch, darunter Pedro Sanchez, um Unterstützung für einen Friedensprozess ohne Kiew zu suchen.",Zelenski warns that Ukraine will never recognize Russian sovereignty over the occupied territories,"The president makes a round of contact with European leaders, including Pedro Sánchez, to seek support against a peace process without Kiev"
3,Trump se reunirá con Putin en Alaska el viernes 15 para tratar sobre la guerra en Ucrania,El presidente de EE UU sostiene que Kiev tendrá que ceder territorio en un acuerdo de paz. El presidente ucranio rechaza esa posibilidad,"Trump trifft sich mit Putin in Alaska am Freitag 15, um über den Krieg in der Ukraine zu sprechen","Der Präsident der Vereinigten Staaten behauptet, Kiew müsse sich in einem Friedensabkommen niederlassen, und der ukrainische Präsident lehnt diese Möglichkeit ab.",Trump will meet Putin in Alaska on Friday 15 to discuss the war in Ukraine,The U.S. president argues that Kiev will have to cede territory in a peace agreement. Ukrainian president rejects that possibility.
4,"El jefe del ejército israelí, antiguo aliado de Netanyahu, se erige en el oponente más feroz a la ocupación total de Gaza",Eyal Zamir advirtió en el Gabinete de Seguridad de la madrugada del viernes de las consecuencias humanitarias y operativas de desplazar a un millón de personas y del riesgo para los rehenes,"Der Chef der israelischen Armee, ein ehemaliger Verbündeter von Netanjahu, ist der ärgerlichste Gegner der totalen Besetzung Gazas.",Eyal Zamir warnte am Freitagmorgen im Sicherheitsbüro vor den humanitären und operativen Folgen einer Vertreibung von einer Million Menschen und dem Risiko für die Geiseln.,"Israeli Army Chief, Netanyahu's former ally, stands as the fiercest opponent of the total occupation of Gaza",Eyal Zamir warned in the Security Cabinet of Friday morning of the humanitarian and operational consequences of displacing a million people and of the risk to hostages
5,"Última hora del conflicto en Oriente Próximo, en directo | Al menos siete muertos y 34 heridos en varios ataques israelíes contra el centro de la Franja","El enviado de EE UU se reúne hoy con el primer ministro de Qatar en Ibiza para tratar el fin de la guerra en Gaza, según Axios | La comunidad internacional condena el plan israelí de ocupar Ciudad de Gaza","Letzte Stunde des Nahost-Konflikts, Live-Attacken, mindestens sieben Tote und 34 Verletzte bei mehreren israelischen Angriffen auf das Zentrum des Gazastreifens.","Der US-Gesandte trifft sich heute mit dem Ministerpräsidenten von Katar in Ibiza, um das Ende des Krieges im Gaza-Streifen zu behandeln, laut Axios-Redaktion Die internationale Gemeinschaft verurteilt den israelischen Plan, Gaza-Stadt zu besetzen","Last hour of the conflict in the Middle East, live  At least seven dead and 34 wounded in several Israeli attacks on the center of the Gaza Strip","U.S. envoy meets today with Qatar's Prime Minister in Ibiza to discuss the end of the war in Gaza, according to Axios  The international community condemns the Israeli plan to occupy Gaza City"
6,Quiero alquilar una casa por 6.000 euros al mes (paga la empresa): los expatriados calientan el sector de las viviendas de lujo,Los trabajadores extranjeros de multinacionales que llegan a España buscan áreas señoriales y cerca de colegios privados,Ich möchte ein Haus für 6.000 Euro im Monat mieten (Zahlen Sie das Unternehmen): Expats erwärmen den Luxus-Wohnungensektor,"Ausländische Arbeitnehmer aus multinationalen Unternehmen, die nach Spanien kommen, suchen herrschaftliche Gebiete und in der Nähe privater Schulen","I want to rent a house for 6,000 euros per month (pays the company): expats heat up the luxury housing sector",Foreign multinational workers arriving in Spain look for stately areas and close to private schools
7,Un refugio climático en Barcelona: así es la casa de 26.000 ladrillos que evita el frío y el calor sin ninguna climatización,"El estudio Alventosa Morell firma esta vivienda donde los bloques de barro aportan, además de su función estructural, un punto de estética y cualidades térmicas que hacen innecesarios el uso de calefacción o aire acondicionado","Ein Klimaheim in Barcelona: So ist das Haus von 26.000 Ziegelsteinen, die Kälte und Hitze ohne Klimaanlage vermeiden","Das Studio Alventosa Morell unterschreibt diese Wohnung, wo Schlammblöcke neben ihrer strukturellen Funktion einen ästhetischen Punkt und thermische Qualitäten liefern, die die Verwendung von Heizung oder Klimaanlage unnötig machen","A climate shelter in Barcelona: this is the 26,000 brick house that avoids cold and heat without any air conditioning","The Alventosa Morell studio signs this house where mud blocks provide, in addition to their structural function, a point of aesthetics and thermal qualities that make the use of heating or air conditioning unnecessary"
8,Chema Alonso: ¿gurú o vendehúmos informático?,"El ‘hacker del gorro’, ex de Telefónica, ha protagonizado una carrera tan meteórica como cuestionada como experto en ciberseguridad",Chema Alonso: Guru oder Computerverkäufer?,"Der ehemalige Telefónica-Hut-Hacker hat eine Karriere inszeniert, die ebenso meteorisch ist wie als Experte für Cybersicherheit in Frage gestellt wurde.",Chema Alonso: Guru or do we sell computer?,"The hat hacker, Telefónica’s ex, has starred in a career as meteoric as questioned as an expert in cybersecurity"
9,El amor ya no es lo que era,"El periodista y escritor Martín Caparrós recuerda la mañana en que se dijo: “Qué carajo, a quién le importa, quién se va a enterar”","Liebe ist nicht mehr das, was sie war","Der Journalist und Schriftsteller Martin Caparrós erinnert sich an den Morgen, an dem gesagt wurde: ""Was soll's, wen interessiert's, wer wird es erfahren?""",Love is no longer what it was,"Journalist and writer Martín Caparrós remembers the morning when he said: “What the fuck, who cares, who will find out”"
